Date,Open,High,Low,Close,Adj Close,Volume
12/31/2018,14.85,14.97,14.7,14.75,14.372322,237500
1/2/2019,14.69,15.11,14.65,14.9,14.51848,267900
1/3/2019,14.76,14.83,14.4,14.48,14.109235,203300
1/4/2019,14.64,14.92,14.61,14.91,14.528225,187600
1/7/2019,14.94,15.09,14.84,15.04,14.654897,264400
1/8/2019,15.02,15.05,14.81,14.96,14.576945,120900
1/9/2019,15.04,15.21,15.02,15.15,14.76208,149100
1/10/2019,15.15,15.29,15.09,15.29,14.898495,156800
1/11/2019,15.21,15.31,15.1,15.3,14.908238,86100
1/14/2019,15.25,15.25,15.11,15.23,14.840032,205900
1/15/2019,15.24,15.41,15.24,15.36,14.966702,278000
1/16/2019,15.42,15.43,15.33,15.37,14.976446,124000
1/17/2019,15.34,15.43,15.21,15.39,14.995935,247800
1/18/2019,15.48,15.5,15.36,15.47,15.073886,213900
1/22/2019,15.39,15.47,15.14,15.25,14.859519,267400
1/23/2019,15.44,15.53,15.38,15.53,15.132349,104500
1/24/2019,15.45,15.52,15.35,15.47,15.073886,232800
1/25/2019,15.57,15.81,15.5,15.81,15.405182,805200
1/28/2019,15.75,15.94,15.7,15.89,15.483132,469700
1/29/2019,15.85,15.9,15.64,15.75,15.346718,220000
1/30/2019,15.82,15.95,15.67,15.95,15.541595,245200
1/31/2019,15.89,15.89,15.72,15.84,15.434413,264000
2/1/2019,15.61,15.71,15.49,15.59,15.190813,307500
2/4/2019,15.46,15.72,15.39,15.68,15.278509,106300
2/5/2019,15.58,15.78,15.57,15.71,15.307742,127400
2/6/2019,15.72,15.74,15.62,15.7,15.297997,83200
2/7/2019,15.67,15.67,15.32,15.4,15.005677,174800
2/8/2019,15.42,15.49,15.35,15.49,15.093374,133600
2/11/2019,15.74,15.77,15.65,15.66,15.259021,189600
2/12/2019,15.96,16.030001,15.92,16.01,15.60006,470400
2/13/2019,16.27,16.27,16.07,16.08,15.668266,369800
2/14/2019,16.17,16.389999,16.15,16.360001,15.9411,467900
2/15/2019,16.530001,16.6,16.41,16.51,16.087255,615300
2/19/2019,16.6,16.66,16.540001,16.629999,16.204182,315800
2/20/2019,16.690001,16.75,16.629999,16.74,16.311365,350400
2/21/2019,16.85,16.870001,16.68,16.719999,16.291878,368700
2/22/2019,16.889999,17.01,16.82,17,16.564711,399800
2/25/2019,17.1,17.129999,17.040001,17.07,16.632917,347500
2/26/2019,17.040001,17.040001,16.91,16.98,16.545221,479200
2/27/2019,17.049999,17.09,16.98,17.049999,16.61343,379800
2/28/2019,16.75,16.75,16.549999,16.68,16.252903,568900
3/1/2019,16.879999,16.93,16.639999,16.74,16.311365,384300
3/4/2019,16.84,17,16.799999,16.870001,16.43804,274800
3/5/2019,16.85,16.9,16.66,16.76,16.330854,333900
3/6/2019,16.860001,16.9,16.52,16.690001,16.262648,540100
3/7/2019,16.77,16.77,16.299999,16.309999,15.892377,508900
3/8/2019,16.299999,16.309999,16.09,16.15,15.736474,545000
3/11/2019,16.25,16.620001,16.200001,16.59,16.165209,312000
3/12/2019,16.68,17.08,16.68,16.99,16.554966,673100
3/13/2019,17.09,17.15,17.049999,17.15,16.710869,326900
3/14/2019,17.15,17.16,16.93,16.969999,16.535477,243800
3/15/2019,16.969999,16.969999,16.809999,16.85,16.418552,217300
3/18/2019,17,17.16,16.91,17.16,16.720615,840100
3/19/2019,17.15,17.15,17.02,17.07,16.632917,326500
3/20/2019,16.9,17.040001,16.790001,16.940001,16.506248,514600
3/21/2019,16.76,16.790001,16.610001,16.77,16.340597,444700
3/22/2019,16.709999,16.75,16.459999,16.459999,16.038534,351400
3/25/2019,16.35,16.440001,16.299999,16.379999,15.960586,355200
3/26/2019,16.549999,16.68,16.5,16.6,16.174952,258300
3/27/2019,16.690001,16.690001,16.450001,16.469999,16.048281,206100
3/28/2019,16.469999,16.540001,16.41,16.469999,16.048281,240900
3/29/2019,16.49,16.780001,16.49,16.559999,16.135975,144000
4/1/2019,16.75,17.02,16.700001,17.01,16.574455,496400
4/2/2019,17.01,17.02,16.799999,16.83,16.399063,689200
4/3/2019,16.91,17.02,16.85,16.959999,16.525734,258900
4/4/2019,16.93,17.059999,16.82,17.040001,16.603687,258800
4/5/2019,17.040001,17.110001,16.969999,17.09,16.652405,312500
4/8/2019,17.049999,17.09,16.959999,17.07,16.632917,205300
4/9/2019,16.99,17.030001,16.93,16.950001,16.515993,231300
4/10/2019,17,17.01,16.82,16.85,16.418552,245900
4/11/2019,16.940001,17.07,16.870001,16.959999,16.525734,460400
4/12/2019,17.08,17.200001,17.059999,17.18,16.740101,350100
4/15/2019,17.200001,17.200001,16.99,16.99,16.554966,377200
4/16/2019,16.99,17.01,16.91,16.959999,16.525734,264200
4/17/2019,16.959999,16.959999,16.799999,16.809999,16.379574,398300
4/18/2019,16.85,16.85,16.639999,16.68,16.252903,282000
4/22/2019,16.67,16.67,16.57,16.629999,16.204182,173400
4/23/2019,16.610001,16.860001,16.610001,16.860001,16.428295,355700
4/24/2019,16.85,16.879999,16.790001,16.809999,16.379574,112400
4/25/2019,16.809999,16.83,16.709999,16.790001,16.36009,179600
4/26/2019,16.83,16.879999,16.610001,16.700001,16.272394,895600
4/29/2019,16.700001,16.77,16.65,16.690001,16.262648,270000
4/30/2019,16.719999,16.73,16.58,16.67,16.24316,209300
5/1/2019,16.700001,16.700001,16.469999,16.5,16.077511,315600
5/2/2019,16.57,16.6,16.41,16.41,15.989818,376300
5/3/2019,16.459999,16.59,16.43,16.52,16.096998,117600
5/6/2019,16.17,16.41,16.030001,16.379999,15.960586,393800
5/7/2019,16.33,16.33,16.120001,16.17,15.755962,313700
5/8/2019,16.24,16.290001,16.17,16.219999,15.804682,243300
5/9/2019,16.059999,16.129999,15.88,16.07,15.658524,359100
5/10/2019,16.1,16.309999,16.01,16.290001,15.87289,472300
5/13/2019,16.09,16.219999,15.98,16.139999,15.726731,617000
5/14/2019,16.309999,16.51,16.309999,16.4,15.980071,524200
5/15/2019,16.51,16.709999,16.4,16.629999,16.204182,588500
5/16/2019,16.629999,16.76,16.530001,16.75,16.32111,736800
5/17/2019,16.59,16.59,16.360001,16.42,15.999562,613600
5/20/2019,16.34,16.540001,16.32,16.49,16.067766,554100
5/21/2019,16.51,16.66,16.5,16.639999,16.213928,269700
5/22/2019,16.610001,16.610001,16.4,16.459999,16.038534,314500
5/23/2019,16.459999,16.459999,16.299999,16.42,15.999562,426000
5/24/2019,16.35,16.35,16.15,16.23,15.814425,471400
5/28/2019,16.299999,16.32,16.16,16.190001,15.775451,361000
5/29/2019,16.18,16.440001,16.110001,16.41,15.989818,534600
5/30/2019,16.41,16.41,16.15,16.17,15.755962,330100
5/31/2019,16.120001,16.23,16.08,16.190001,15.775451,779400
6/3/2019,16.18,16.18,15.95,16.07,15.658524,429800
6/4/2019,16.1,16.24,16.1,16.24,15.82417,611800
6/5/2019,16.290001,16.35,16.16,16.219999,15.804682,357900
6/6/2019,16.219999,16.24,16.09,16.209999,15.794938,341500
6/7/2019,16.25,16.42,16.25,16.370001,15.950843,380900
6/10/2019,16.370001,16.43,16.32,16.33,15.911866,303300
6/11/2019,16.41,16.48,16.360001,16.370001,15.950843,199600
6/12/2019,16.35,16.360001,16.200001,16.26,15.843658,245300
6/13/2019,16.26,16.27,16.18,16.219999,15.804682,209900
6/14/2019,16.280001,16.35,16.219999,16.280001,15.863147,162000
6/17/2019,16.200001,16.200001,16.059999,16.08,15.668266,298200
6/18/2019,16.120001,16.17,16.049999,16.129999,15.716987,329100
6/19/2019,16.17,16.309999,16.15,16.309999,15.892377,585100
6/20/2019,16.4,16.469999,16.370001,16.440001,16.019049,304900
6/21/2019,16.41,16.41,16.33,16.370001,15.950843,257600
6/24/2019,16.41,16.49,16.4,16.459999,16.038534,666100
6/25/2019,16.440001,16.440001,16.309999,16.32,15.902123,791800
6/26/2019,16.4,16.4,16.219999,16.280001,15.863147,332300
6/27/2019,16.26,16.27,15.99,16.030001,15.619549,744800
6/28/2019,16.040001,16.209999,15.99,16.02,15.609803,484900
7/1/2019,16.25,16.309999,16.16,16.27,15.853402,565200
7/2/2019,16.34,16.370001,16.24,16.309999,15.892377,320800
7/3/2019,16.27,16.280001,16.190001,16.26,15.843658,296000
7/5/2019,16.360001,16.370001,16.24,16.280001,15.863147,414700
7/8/2019,16.190001,16.219999,16.07,16.110001,15.697497,513100
